"The Client ID, Client Secret, Organization ID and 2FA are required when enabling the Admin Adobe IMS Module","The Client ID, Client Secret, Organization ID and 2FA are required when enabling the Admin Adobe IMS Module","module","Magento_AdminAdobeIms"
"Invalid state returned in callback from IMS.","Invalid state returned in callback from IMS.","module","Magento_AdminAdobeIms"
"An authentication error occurred. Verify and try again.","An authentication error occurred. Verify and try again.","module","Magento_AdminAdobeIms"
"Adobe Sign-In is disabled.","Adobe Sign-In is disabled.","module","Magento_AdminAdobeIms"
"Authorization was successful","Authorization was successful","module","Magento_AdminAdobeIms"
"Invalid state returned from IMS","Invalid state returned from IMS","module","Magento_AdminAdobeIms"
"Could not connect to Adobe IMS Service: %1.","Could not connect to Adobe IMS Service: %1.","module","Magento_AdminAdobeIms"
"Could not get a valid response from Adobe IMS Service.","Could not get a valid response from Adobe IMS Service.","module","Magento_AdminAdobeIms"
"Could not verify the access_token","Could not verify the access_token","module","Magento_AdminAdobeIms"
"Profile body is empty","Profile body is empty","module","Magento_AdminAdobeIms"
"Could not save ims token.","Could not save ims token.","module","Magento_AdminAdobeIms"
"Could not find ims token id: %id.","Could not find ims token id: %id.","module","Magento_AdminAdobeIms"
"Could not delete ims tokens for admin user id %1.","Could not delete ims tokens for admin user id %1.","module","Magento_AdminAdobeIms"
"An error occurred during logout operation.","An error occurred during logout operation.","module","Magento_AdminAdobeIms"
"Failed to get JWK","Failed to get JWK","module","Magento_AdminAdobeIms"
"Failed to read JWT token","Failed to read JWT token","module","Magento_AdminAdobeIms"
"JWT does not contain claims","JWT does not contain claims","module","Magento_AdminAdobeIms"
"created_at not provided by the received JWT","created_at not provided by the received JWT","module","Magento_AdminAdobeIms"
"expires_in not provided by the received JWT","expires_in not provided by the received JWT","module","Magento_AdminAdobeIms"
"Token has expired","Token has expired","module","Magento_AdminAdobeIms"
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","module","Magento_AdminAdobeIms"
"More permissions are needed to access this.","More permissions are needed to access this.","module","Magento_AdminAdobeIms"
"Please sign in with Adobe ID","Please sign in with Adobe ID","module","Magento_AdminAdobeIms"
"Admin token generation is disabled. Please use Adobe IMS ACCESS_TOKEN.","Admin token generation is disabled. Please use Adobe IMS ACCESS_TOKEN.","module","Magento_AdminAdobeIms"
"Identity Verification","Identity Verification","module","Magento_AdminAdobeIms"
"Verify Identity with Adobe IMS","Verify Identity with Adobe IMS","module","Magento_AdminAdobeIms"
"Confirm Identity","Confirm Identity","module","Magento_AdminAdobeIms"
"To apply changes you need to verify your Adobe identity.","To apply changes you need to verify your Adobe identity.","module","Magento_AdminAdobeIms"
"Identity Verified with Adobe IMS","Identity Verified with Adobe IMS","module","Magento_AdminAdobeIms"
"Please perform the AdobeIms reAuth and try again.","Please perform the AdobeIms reAuth and try again.","module","Magento_AdminAdobeIms"
"Use the same email user has in Adobe IMS organization.","Use the same email user has in Adobe IMS organization.","module","Magento_AdminAdobeIms"
"The tokens couldn't be revoked.","The tokens couldn't be revoked.","module","Magento_AdminAdobeIms"
"No matching admin user found for Adobe ID.","No matching admin user found for Adobe ID.","module","Magento_AdminAdobeIms"
"This field is required to enable the Admin Adobe IMS Module","This field is required to enable the Admin Adobe IMS Module","module","Magento_AdminAdobeIms"
"No valid Organization ID provided","No valid Organization ID provided","module","Magento_AdminAdobeIms"
"No valid Client ID provided","No valid Client ID provided","module","Magento_AdminAdobeIms"
"No valid Client Secret provided","No valid Client Secret provided","module","Magento_AdminAdobeIms"
"2FA is required when enabling the Admin Adobe IMS Module","2FA is required when enabling the Admin Adobe IMS Module","module","Magento_AdminAdobeIms"
"Can't check user membership in organization.","Can't check user membership in organization.","module","Magento_AdminAdobeIms"
"Could not check Organization Membership. Response is empty.","Could not check Organization Membership. Response is empty.","module","Magento_AdminAdobeIms"
"User is not a member of configured Adobe Organization.","User is not a member of configured Adobe Organization.","module","Magento_AdminAdobeIms"
"Organization Membership check can't be performed","Organization Membership check can't be performed","module","Magento_AdminAdobeIms"
"The ims token wasn't found.","The ims token wasn't found.","module","Magento_AdminAdobeIms"
"Sign in to access the Adobe Commerce for your organization.","Sign in to access the Adobe Commerce for your organization.","module","Magento_AdminAdobeIms"
"Sign In","登录","module","Magento_AdminAdobeIms"
"This Commerce instance is managed by an organization. Contact your organization administrator to request access.","This Commerce instance is managed by an organization. Contact your organization administrator to request access.","module","Magento_AdminAdobeIms"
"Sign in with Adobe ID","Sign in with Adobe ID","module","Magento_AdminAdobeIms"
"All","全部","module","Magento_AdminGws"
"None","无","module","Magento_AdminGws"
"Allowed Scopes","允许的范围","module","Magento_AdminGws"
"More permissions are needed to delete the ""%1"" item.","More permissions are needed to delete the ""%1"" item.","module","Magento_AdminGws"
"You need more permissions to apply some of the rule updates.","你需要更高的权限应用一些规则的更新。","module","Magento_AdminGws"
"More permissions are needed to view this item.","More permissions are needed to view this item.","module","Magento_AdminGws"
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","This entity needs to be assigned to a store view. Verify the entity assignment and try again.","module","Magento_AdminGws"
"This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","This item needs to be assigned to a store view.
                Please select a website for this product in ""Product in Websites"".","module","Magento_AdminGws"
"Orders can only be completed in an active store. Verify the store and try again.","Orders can only be completed in an active store. Verify the store and try again.","module","Magento_AdminGws"
"This item needs to be assigned to a store view. Assign item and try again.","This item needs to be assigned to a store view. Assign item and try again.","module","Magento_AdminGws"
"More permissions are needed to save this item.","More permissions are needed to save this item.","module","Magento_AdminGws"
"More permissions are needed to delete this item.","More permissions are needed to delete this item.","module","Magento_AdminGws"
"Not allowed to edit the category's design attributes","Not allowed to edit the category's design attributes","module","Magento_AdminGws"
